point_id dim1 dim2 dim3
Point1 -2.7405045330940814 -8.12242312837904 -7.8538969411912785
Point2 -4.70990367867236 -5.041566222418988 -6.602184899761241
Point3 -8.503529402878327 -9.612691919813168 -1.226201106072164
Point4 0.023427852839180474 -5.270674935294936 8.87473815034783
Point5 -3.608763601235876 8.227774142547595 -9.576458378284919
Point6 6.57329328474961 -1.6172803579730033 8.682035084779024
Point7 2.427454121562409 -2.1319677932557397 2.8041921183893255
Point8 1.3513271200153874 -2.1080903448984234 -6.532281771175585
Point9 0.39724270666864925 -5.384902779537257 3.604166039972359
Point10 0.29761855823663375 5.529482145276276 -5.973570658424537
Point11 -2.797348917865838 -0.13202538129276675 -1.9736529346259957
Point12 2.770505922265471 9.373872801582348 -6.895667449168384
Point13 -1.8206503405261962 1.0108627216901933 -3.806887403361456
Point14 -4.232866184742443 -0.8771090822017964 -2.329358272069088
Point15 8.941833208873675 -7.9294420001285415 4.865462770735027
Point16 -7.718291857502228 -0.6812847825283175 3.52666446935806
Point17 8.99103371985884 9.14418507040709 -3.489620925494716
Point18 -4.143394697963448 2.760399724900024 4.760644831496281
Point19 -2.60972516033807 0.5085812431083809 1.3747052758032687
Point20 -5.946775349402613 -3.3899319476042393 5.600179769121825
Point21 -7.162396627794802 0.14010393564023182 3.846298844716486
Point22 3.75391628621621 0.3322663816844873 6.479062851793618
Point23 -9.532233631020372 2.471802786844634 5.468355283910869
Point24 4.242558342863065 -8.336090346111503 3.706260340793971
Point25 0.975663264975303 -7.920109857537123 -5.223621241768994
Point26 7.098190568085801 -1.7614135755175333 0.13609782219597832
Point27 -4.922654536527604 -7.742538727239201 -6.137345080455856
Point28 -8.752617052348375 -7.512124382332191 5.356263790541675
Point29 4.647983991604059 -8.360817407085122 -3.0149199902052874
Point30 -6.163465314882806 -8.312653626577294 9.703791554766596
